"Province","District","Ranked Choices","Votes"
"Quebec","Ahuntsic","Other > NDP > Bloc > Green > Liberal > Conservative","7
"Quebec","Ahuntsic","Other > NDP > Bloc > Green > Conservative > Liberal","5
"Quebec","Ahuntsic","Other > NDP > Liberal > Bloc > Conservative > Green","4
"Quebec","Ahuntsic","Other > NDP > Liberal > Bloc > Green > Conservative","8
"Quebec","Ahuntsic","Other > NDP > Liberal > Conservative > Bloc > Green","2
"Quebec","Ahuntsic","Other > NDP > Liberal > Conservative > Green > Bloc","6
"Quebec","Ahuntsic","Other > NDP > Liberal > Green > Bloc > Conservative","5
"Quebec","Ahuntsic","Other > NDP > Liberal > Green > Conservative > Bloc","4
"Quebec","Ahuntsic","Other > NDP > Conservative > Bloc > Liberal > Green","1
"Quebec","Ahuntsic","Other > NDP > Conservative > Liberal > Bloc > Green","3
"Quebec","Ahuntsic","Other > NDP > Conservative > Liberal > Green > Bloc","2
"Quebec","Ahuntsic","Other > NDP > Conservative > Green > Bloc > Liberal","1
"Quebec","Ahuntsic","Other > NDP > Conservative > Green > Liberal > Bloc","2
"Quebec","Ahuntsic","Other > NDP > Green > Bloc > Liberal > Conservative","5
"Quebec","Ahuntsic","Other > NDP > Green > Bloc > Conservative > Liberal","1
"Quebec","Ahuntsic","Other > NDP > Green > Liberal > Bloc > Conservative","4
"Quebec","Ahuntsic","Other > NDP > Green > Liberal > Conservative > Bloc","3
"Quebec","Ahuntsic","Other > NDP > Green > Conservative > Bloc > Liberal","1
"Quebec","Ahuntsic","Other > NDP > Green > Conservative > Liberal > Bloc","3
"Quebec","Ahuntsic","Other > Liberal > Bloc > NDP > Conservative > Green","2
"Quebec","Ahuntsic","Other > Liberal > Bloc > NDP > Green > Conservative","3
"Quebec","Ahuntsic","Other > Liberal > Bloc > Green > NDP > Conservative","1
"Quebec","Ahuntsic","Other > Liberal > NDP > Bloc > Conservative > Green","4
"Quebec","Ahuntsic","Other > Liberal > NDP > Bloc > Green > Conservative","7
"Quebec","Ahuntsic","Other > Liberal > NDP > Conservative > Bloc > Green","1
"Quebec","Ahuntsic","Other > Liberal > NDP > Conservative > Green > Bloc","2
"Quebec","Ahuntsic","Other > Liberal > NDP > Green > Bloc > Conservative","3
"Quebec","Ahuntsic","Other > Liberal > NDP > Green > Conservative > Bloc","2
"Quebec","Ahuntsic","Other > Liberal > Conservative > NDP > Bloc > Green","2
"Quebec","Ahuntsic","Other > Liberal > Conservative > NDP > Green > Bloc","1
"Quebec","Ahuntsic","Other > Liberal > Conservative > Green > NDP > Bloc","1
"Quebec","Ahuntsic","Other > Liberal > Green > Bloc > NDP > Conservative","1
"Quebec","Ahuntsic","Other > Liberal > Green > NDP > Bloc > Conservative","2
"Quebec","Ahuntsic","Other > Liberal > Green > Conservative > NDP > Bloc","1
"Quebec","Ahuntsic","Other > Conservative > Bloc > NDP > Liberal > Green","2
"Quebec","Ahuntsic","Other > Conservative > Bloc > NDP > Green > Liberal","1
"Quebec","Ahuntsic","Other > Conservative > Bloc > Liberal > NDP > Green","1
"Quebec","Ahuntsic","Other > Conservative > Bloc > Green > NDP > Liberal","1
"Quebec","Ahuntsic","Other > Conservative > NDP > Bloc > Liberal > Green","8
"Quebec","Ahuntsic","Other > Conservative > NDP > Bloc > Green > Liberal","6
"Quebec","Ahuntsic","Other > Conservative > NDP > Liberal > Bloc > Green","7
"Quebec","Ahuntsic","Other > Conservative > NDP > Liberal > Green > Bloc","5
"Quebec","Ahuntsic","Other > Conservative > NDP > Green > Bloc > Liberal","3
"Quebec","Ahuntsic","Other > Conservative > NDP > Green > Liberal > Bloc","4
"Quebec","Ahuntsic","Other > Conservative > Liberal > Bloc > NDP > Green","4
"Quebec","Ahuntsic","Other > Conservative > Liberal > Bloc > Green > NDP","1
"Quebec","Ahuntsic","Other > Conservative > Liberal > NDP > Bloc > Green","9
"Quebec","Ahuntsic","Other > Conservative > Liberal > NDP > Green > Bloc","5
"Quebec","Ahuntsic","Other > Conservative > Liberal > Green > Bloc > NDP","1
"Quebec","Ahuntsic","Other > Conservative > Liberal > Green > NDP > Bloc","2
"Quebec","Ahuntsic","Other > Conservative > Green > Bloc > NDP > Liberal","2
"Quebec","Ahuntsic","Other > Conservative > Green > Bloc > Liberal > NDP","1
"Quebec","Ahuntsic","Other > Conservative > Green > NDP > Bloc > Liberal","4
"Quebec","Ahuntsic","Other > Conservative > Green > NDP > Liberal > Bloc","3
"Quebec","Ahuntsic","Other > Conservative > Green > Liberal > Bloc > NDP","1
"Quebec","Ahuntsic","Other > Conservative > Green > Liberal > NDP > Bloc","2
"Quebec","Ahuntsic","Other > Green > Bloc > NDP > Liberal > Conservative","7
"Quebec","Ahuntsic","Other > Green > Bloc > NDP > Conservative > Liberal","2
"Quebec","Ahuntsic","Other > Green > Bloc > Liberal > NDP > Conservative","2
"Quebec","Ahuntsic","Other > Green > Bloc > Liberal > Conservative > NDP","1
"Quebec","Ahuntsic","Other > Green > Bloc > Conservative > NDP > Liberal","1
"Quebec","Ahuntsic","Other > Green > NDP > Bloc > Liberal > Conservative","11
"Quebec","Ahuntsic","Other > Green > NDP > Bloc > Conservative > Liberal","3
"Quebec","Ahuntsic","Other > Green > NDP > Liberal > Bloc > Conservative","7
"Quebec","Ahuntsic","Other > Green > NDP > Liberal > Conservative > Bloc","5
"Quebec","Ahuntsic","Other > Green > NDP > Conservative > Bloc > Liberal","1
"Quebec","Ahuntsic","Other > Green > NDP > Conservative > Liberal > Bloc","3
"Quebec","Ahuntsic","Other > Green > Liberal > Bloc > NDP > Conservative","3
"Quebec","Ahuntsic","Other > Green > Liberal > NDP > Bloc > Conservative","7
"Quebec","Ahuntsic","Other > Green > Liberal > NDP > Conservative > Bloc","2
"Quebec","Ahuntsic","Other > Green > Liberal > Conservative > NDP > Bloc","2
"Quebec","Ahuntsic","Other > Green > Conservative > Bloc > NDP > Liberal","1
"Quebec","Ahuntsic","Other > Green > Conservative > NDP > Bloc > Liberal","2
"Quebec","Ahuntsic","Other > Green > Conservative > NDP > Liberal > Bloc","2
"Quebec","Ahuntsic","Other > Green > Conservative > Liberal > Bloc > NDP","1
"Quebec","Ahuntsic","Other > Green > Conservative > Liberal > NDP > Bloc","2
"Quebec","Alfred-Pellan","NDP > Bloc > Liberal > Conservative > Green > Other","1546
"Quebec","Alfred-Pellan","NDP > Bloc > Liberal > Conservative > Other > Green","446
"Quebec","Alfred-Pellan","NDP > Bloc > Liberal > Green > Conservative > Other","1636
"Quebec","Alfred-Pellan","NDP > Bloc > Liberal > Green > Other > Conservative","429
"Quebec","Alfred-Pellan","NDP > Bloc > Liberal > Other > Conservative > Green","102
"Quebec","Alfred-Pellan","NDP > Bloc > Liberal > Other > Green > Conservative","88
"Quebec","Alfred-Pellan","NDP > Bloc > Conservative > Liberal > Green > Other","726
"Quebec","Alfred-Pellan","NDP > Bloc > Conservative > Liberal > Other > Green","67
"Quebec","Alfred-Pellan","NDP > Bloc > Conservative > Green > Liberal > Other","395
"Quebec","Alfred-Pellan","NDP > Bloc > Conservative > Green > Other > Liberal","62
"Quebec","Alfred-Pellan","NDP > Bloc > Conservative > Other > Liberal > Green","47
"Quebec","Alfred-Pellan","NDP > Bloc > Conservative > Other > Green > Liberal","85
"Quebec","Alfred-Pellan","NDP > Bloc > Green > Liberal > Conservative > Other","1434
"Quebec","Alfred-Pellan","NDP > Bloc > Green > Liberal > Other > Conservative","137
"Quebec","Alfred-Pellan","NDP > Bloc > Green > Conservative > Liberal > Other","809
"Quebec","Alfred-Pellan","NDP > Bloc > Green > Conservative > Other > Liberal","135
"Quebec","Alfred-Pellan","NDP > Bloc > Green > Other > Liberal > Conservative","80
"Quebec","Alfred-Pellan","NDP > Bloc > Green > Other > Conservative > Liberal","168
"Quebec","Alfred-Pellan","NDP > Bloc > Other > Liberal > Conservative > Green","40
"Quebec","Alfred-Pellan","NDP > Bloc > Other > Liberal > Green > Conservative","42
"Quebec","Alfred-Pellan","NDP > Bloc > Other > Conservative > Liberal > Green","110
"Quebec","Alfred-Pellan","NDP > Bloc > Other > Conservative > Green > Liberal","63
"Quebec","Alfred-Pellan","NDP > Bloc > Other > Green > Liberal > Conservative","93
"Quebec","Alfred-Pellan","NDP > Bloc > Other > Green > Conservative > Liberal","56
"Quebec","Alfred-Pellan","NDP > Liberal > Bloc > Conservative > Green > Other","722
"Quebec","Alfred-Pellan","NDP > Liberal > Bloc > Conservative > Other > Green","208
"Quebec","Alfred-Pellan","NDP > Liberal > Bloc > Green > Conservative > Other","1473
"Quebec","Alfred-Pellan","NDP > Liberal > Bloc > Green > Other > Conservative","386
"Quebec","Alfred-Pellan","NDP > Liberal > Bloc > Other > Conservative > Green","146
"Quebec","Alfred-Pellan","NDP > Liberal > Bloc > Other > Green > Conservative","125
"Quebec","Alfred-Pellan","NDP > Liberal > Conservative > Bloc > Green > Other","335
"Quebec","Alfred-Pellan","NDP > Liberal > Conservative > Bloc > Other > Green","49
"Quebec","Alfred-Pellan","NDP > Liberal > Conservative > Green > Bloc > Other","1107
"Quebec","Alfred-Pellan","NDP > Liberal > Conservative > Green > Other > Bloc","194
"Quebec","Alfred-Pellan","NDP > Liberal > Conservative > Other > Bloc > Green","146
"Quebec","Alfred-Pellan","NDP > Liberal > Conservative > Other > Green > Bloc","230
"Quebec","Alfred-Pellan","NDP > Liberal > Green > Bloc > Conservative > Other","897
"Quebec","Alfred-Pellan","NDP > Liberal > Green > Bloc > Other > Conservative","262
"Quebec","Alfred-Pellan","NDP > Liberal > Green > Conservative > Bloc > Other","392
"Quebec","Alfred-Pellan","NDP > Liberal > Green > Conservative > Other > Bloc","383
"Quebec","Alfred-Pellan","NDP > Liberal > Green > Other > Bloc > Conservative","72
"Quebec","Alfred-Pellan","NDP > Liberal > Green > Other > Conservative > Bloc","131
"Quebec","Alfred-Pellan","NDP > Liberal > Other > Bloc > Conservative > Green","15
"Quebec","Alfred-Pellan","NDP > Liberal > Other > Bloc > Green > Conservative","30
"Quebec","Alfred-Pellan","NDP > Liberal > Other > Conservative > Bloc > Green","18
"Quebec","Alfred-Pellan","NDP > Liberal > Other > Conservative > Green > Bloc","63
"Quebec","Alfred-Pellan","NDP > Liberal > Other > Green > Bloc > Conservative","42
"Quebec","Alfred-Pellan","NDP > Liberal > Other > Green > Conservative > Bloc","28
"Quebec","Alfred-Pellan","NDP > Conservative > Bloc > Liberal > Green > Other","110
"Quebec","Alfred-Pellan","NDP > Conservative > Bloc > Liberal > Other > Green","10
"Quebec","Alfred-Pellan","NDP > Conservative > Bloc > Green > Liberal > Other","67
"Quebec","Alfred-Pellan","NDP > Conservative > Bloc > Green > Other > Liberal","11
"Quebec","Alfred-Pellan","NDP > Conservative > Bloc > Other > Liberal > Green","4
"Quebec","Alfred-Pellan","NDP > Conservative > Bloc > Other > Green > Liberal","7
"Quebec","Alfred-Pellan","NDP > Conservative > Liberal > Bloc > Green > Other","608
"Quebec","Alfred-Pellan","NDP > Conservative > Liberal > Bloc > Other > Green","89
"Quebec","Alfred-Pellan","NDP > Conservative > Liberal > Green > Bloc > Other","413
"Quebec","Alfred-Pellan","NDP > Conservative > Liberal > Green > Other > Bloc","73
"Quebec","Alfred-Pellan","NDP > Conservative > Liberal > Other > Bloc > Green","18
"Quebec","Alfred-Pellan","NDP > Conservative > Liberal > Other > Green > Bloc","27
"Quebec","Alfred-Pellan","NDP > Conservative > Green > Bloc > Liberal > Other","282
"Quebec","Alfred-Pellan","NDP > Conservative > Green > Bloc > Other > Liberal","27
"Quebec","Alfred-Pellan","NDP > Conservative > Green > Liberal > Bloc > Other","323
"Quebec","Alfred-Pellan","NDP > Conservative > Green > Liberal > Other > Bloc","21
"Quebec","Alfred-Pellan","NDP > Conservative > Green > Other > Bloc > Liberal","29
"Quebec","Alfred-Pellan","NDP > Conservative > Green > Other > Liberal > Bloc","25
"Quebec","Alfred-Pellan","NDP > Conservative > Other > Bloc > Liberal > Green","36
"Quebec","Alfred-Pellan","NDP > Conservative > Other > Bloc > Green > Liberal","23
"Quebec","Alfred-Pellan","NDP > Conservative > Other > Liberal > Bloc > Green","30
"Quebec","Alfred-Pellan","NDP > Conservative > Other > Liberal > Green > Bloc","21
"Quebec","Alfred-Pellan","NDP > Conservative > Other > Green > Bloc > Liberal","44
"Quebec","Alfred-Pellan","NDP > Conservative > Other > Green > Liberal > Bloc","49
"Quebec","Alfred-Pellan","NDP > Green > Bloc > Liberal > Conservative > Other","908
"Quebec","Alfred-Pellan","NDP > Green > Bloc > Liberal > Other > Conservative","87
"Quebec","Alfred-Pellan","NDP > Green > Bloc > Conservative > Liberal > Other","278
"Quebec","Alfred-Pellan","NDP > Green > Bloc > Conservative > Other > Liberal","46
"Quebec","Alfred-Pellan","NDP > Green > Bloc > Other > Liberal > Conservative","30
"Quebec","Alfred-Pellan","NDP > Green > Bloc > Other > Conservative > Liberal","64
"Quebec","Alfred-Pellan","NDP > Green > Liberal > Bloc > Conservative > Other","701
"Quebec","Alfred-Pellan","NDP > Green > Liberal > Bloc > Other > Conservative","204
"Quebec","Alfred-Pellan","NDP > Green > Liberal > Conservative > Bloc > Other","308
"Quebec","Alfred-Pellan","NDP > Green > Liberal > Conservative > Other > Bloc","302
"Quebec","Alfred-Pellan","NDP > Green > Liberal > Other > Bloc > Conservative","21
"Quebec","Alfred-Pellan","NDP > Green > Liberal > Other > Conservative > Bloc","37
"Quebec","Alfred-Pellan","NDP > Green > Conservative > Bloc > Liberal > Other","110
"Quebec","Alfred-Pellan","NDP > Green > Conservative > Bloc > Other > Liberal","10
"Quebec","Alfred-Pellan","NDP > Green > Conservative > Liberal > Bloc > Other","664
"Quebec","Alfred-Pellan","NDP > Green > Conservative > Liberal > Other > Bloc","43
"Quebec","Alfred-Pellan","NDP > Green > Conservative > Other > Bloc > Liberal","63
"Quebec","Alfred-Pellan","NDP > Green > Conservative > Other > Liberal > Bloc","55
"Quebec","Alfred-Pellan","NDP > Green > Other > Bloc > Liberal > Conservative","51
"Quebec","Alfred-Pellan","NDP > Green > Other > Bloc > Conservative > Liberal","16
"Quebec","Alfred-Pellan","NDP > Green > Other > Liberal > Bloc > Conservative","35
"Quebec","Alfred-Pellan","NDP > Green > Other > Liberal > Conservative > Bloc","23
"Quebec","Alfred-Pellan","NDP > Green > Other > Conservative > Bloc > Liberal","18
"Quebec","Alfred-Pellan","NDP > Green > Other > Conservative > Liberal > Bloc","105
"Quebec","Alfred-Pellan","NDP > Other > Bloc > Liberal > Conservative > Green","15
"Quebec","Alfred-Pellan","NDP > Other > Bloc > Liberal > Green > Conservative","16
"Quebec","Alfred-Pellan","NDP > Other > Bloc > Conservative > Liberal > Green","6
"Quebec","Alfred-Pellan","NDP > Other > Bloc > Conservative > Green > Liberal","4
"Quebec","Alfred-Pellan","NDP > Other > Bloc > Green > Liberal > Conservative","12
"Quebec","Alfred-Pellan","NDP > Other > Bloc > Green > Conservative > Liberal","8
"Quebec","Alfred-Pellan","NDP > Other > Liberal > Bloc > Conservative > Green","7
"Quebec","Alfred-Pellan","NDP > Other > Liberal > Bloc > Green > Conservative","15
"Quebec","Alfred-Pellan","NDP > Other > Liberal > Conservative > Bloc > Green","3
"Quebec","Alfred-Pellan","NDP > Other > Liberal > Conservative > Green > Bloc","12
"Quebec","Alfred-Pellan","NDP > Other > Liberal > Green > Bloc > Conservative","10
"Quebec","Alfred-Pellan","NDP > Other > Liberal > Green > Conservative > Bloc","6
"Quebec","Alfred-Pellan","NDP > Other > Conservative > Bloc > Liberal > Green","7
"Quebec","Alfred-Pellan","NDP > Other > Conservative > Bloc > Green > Liberal","4
"Quebec","Alfred-Pellan","NDP > Other > Conservative > Liberal > Bloc > Green","38
"Quebec","Alfred-Pellan","NDP > Other > Conservative > Liberal > Green > Bloc","26
"Quebec","Alfred-Pellan","NDP > Other > Conservative > Green > Bloc > Liberal","18
"Quebec","Alfred-Pellan","NDP > Other > Conservative > Green > Liberal > Bloc","19
"Quebec","Alfred-Pellan","NDP > Other > Green > Bloc > Liberal > Conservative","26
"Quebec","Alfred-Pellan","NDP > Other > Green > Bloc > Conservative > Liberal","9
"Quebec","Alfred-Pellan","NDP > Other > Green > Liberal > Bloc > Conservative","23
"Quebec","Alfred-Pellan","NDP > Other > Green > Liberal > Conservative > Bloc","15
"Quebec","Alfred-Pellan","NDP > Other > Green > Conservative > Bloc > Liberal","3
"Quebec","Alfred-Pellan","NDP > Other > Green > Conservative > Liberal > Bloc","20
"Quebec","Alfred-Pellan","Bloc > NDP > Liberal > Conservative > Green > Other","1462
"Quebec","Alfred-Pellan","Bloc > NDP > Liberal > Conservative > Other > Green","422
"Quebec","Alfred-Pellan","Bloc > NDP > Liberal > Green > Conservative > Other","1547
"Quebec","Alfred-Pellan","Bloc > NDP > Liberal > Green > Other > Conservative","406
"Quebec","Alfred-Pellan","Bloc > NDP > Liberal > Other > Conservative > Green","97
"Quebec","Alfred-Pellan","Bloc > NDP > Liberal > Other > Green > Conservative","83
"Quebec","Alfred-Pellan","Bloc > NDP > Conservative > Liberal > Green > Other","665
"Quebec","Alfred-Pellan","Bloc > NDP > Conservative > Liberal > Other > Green","61
"Quebec","Alfred-Pellan","Bloc > NDP > Conservative > Green > Liberal > Other","361
"Quebec","Alfred-Pellan","Bloc > NDP > Conservative > Green > Other > Liberal","57
"Quebec","Alfred-Pellan","Bloc > NDP > Conservative > Other > Liberal > Green","43
"Quebec","Alfred-Pellan","Bloc > NDP > Conservative > Other > Green > Liberal","78
"Quebec","Alfred-Pellan","Bloc > NDP > Green > Liberal > Conservative > Other","1169
"Quebec","Alfred-Pellan","Bloc > NDP > Green > Liberal > Other > Conservative","111
"Quebec","Alfred-Pellan","Bloc > NDP > Green > Conservative > Liberal > Other","659
"Quebec","Alfred-Pellan","Bloc > NDP > Green > Conservative > Other > Liberal","110
"Quebec","Alfred-Pellan","Bloc > NDP > Green > Other > Liberal > Conservative","65
"Quebec","Alfred-Pellan","Bloc > NDP > Green > Other > Conservative > Liberal","137
"Quebec","Alfred-Pellan","Bloc > NDP > Other > Liberal > Conservative > Green","17
"Quebec","Alfred-Pellan","Bloc > NDP > Other > Liberal > Green > Conservative","18
"Quebec","Alfred-Pellan","Bloc > NDP > Other > Conservative > Liberal > Green","47
"Quebec","Alfred-Pellan","Bloc > NDP > Other > Conservative > Green > Liberal","27
"Quebec","Alfred-Pellan","Bloc > NDP > Other > Green > Liberal > Conservative","40
"Quebec","Alfred-Pellan","Bloc > NDP > Other > Green > Conservative > Liberal","24
"Quebec","Alfred-Pellan","Bloc > Liberal > NDP > Conservative > Green > Other","425
"Quebec","Alfred-Pellan","Bloc > Liberal > NDP > Conservative > Other > Green","123
"Quebec","Alfred-Pellan","Bloc > Liberal > NDP > Green > Conservative > Other","773
"Quebec","Alfred-Pellan","Bloc > Liberal > NDP > Green > Other > Conservative","203
"Quebec","Alfred-Pellan","Bloc > Liberal > NDP > Other > Conservative > Green","40
"Quebec","Alfred-Pellan","Bloc > Liberal > NDP > Other > Green > Conservative","35
"Quebec","Alfred-Pellan","Bloc > Liberal > Conservative > NDP > Green > Other","208
"Quebec","Alfred-Pellan","Bloc > Liberal > Conservative > NDP > Other > Green","16
"Quebec","Alfred-Pellan","Bloc > Liberal > Conservative > Green > NDP > Other","82
"Quebec","Alfred-Pellan","Bloc > Liberal > Conservative > Green > Other > NDP","6
"Quebec","Alfred-Pellan","Bloc > Liberal > Conservative > Other > NDP > Green","15
"Quebec","Alfred-Pellan","Bloc > Liberal > Conservative > Other > Green > NDP","10
"Quebec","Alfred-Pellan","Bloc > Liberal > Green > NDP > Conservative > Other","227
"Quebec","Alfred-Pellan","Bloc > Liberal > Green > NDP > Other > Conservative","31
"Quebec","Alfred-Pellan","Bloc > Liberal > Green > Conservative > NDP > Other","66
"Quebec","Alfred-Pellan","Bloc > Liberal > Green > Conservative > Other > NDP","7
"Quebec","Alfred-Pellan","Bloc > Liberal > Green > Other > NDP > Conservative","11
"Quebec","Alfred-Pellan","Bloc > Liberal > Green > Other > Conservative > NDP","8
"Quebec","Alfred-Pellan","Bloc > Liberal > Other > NDP > Conservative > Green","5
"Quebec","Alfred-Pellan","Bloc > Liberal > Other > NDP > Green > Conservative","8
"Quebec","Alfred-Pellan","Bloc > Liberal > Other > Conservative > NDP > Green","7
"Quebec","Alfred-Pellan","Bloc > Liberal > Other > Conservative > Green > NDP","3
"Quebec","Alfred-Pellan","Bloc > Liberal > Other > Green > NDP > Conservative","7
"Quebec","Alfred-Pellan","Bloc > Liberal > Other > Green > Conservative > NDP","2
"Quebec","Alfred-Pellan","Bloc > Conservative > NDP > Liberal > Green > Other","197
"Quebec","Alfred-Pellan","Bloc > Conservative > NDP > Liberal > Other > Green","18
"Quebec","Alfred-Pellan","Bloc > Conservative > NDP > Green > Liberal > Other","104
"Quebec","Alfred-Pellan","Bloc > Conservative > NDP > Green > Other > Liberal","16
"Quebec","Alfred-Pellan","Bloc > Conservative > NDP > Other > Liberal > Green","3
"Quebec","Alfred-Pellan","Bloc > Conservative > NDP > Other > Green > Liberal","6
"Quebec","Alfred-Pellan","Bloc > Conservative > Liberal > NDP > Green > Other","176
"Quebec","Alfred-Pellan","Bloc > Conservative > Liberal > NDP > Other > Green","14
"Quebec","Alfred-Pellan","Bloc > Conservative > Liberal > Green > NDP > Other","39
"Quebec","Alfred-Pellan","Bloc > Conservative > Liberal > Green > Other > NDP","3
"Quebec","Alfred-Pellan","Bloc > Conservative > Liberal > Other > NDP > Green","2
"Quebec","Alfred-Pellan","Bloc > Conservative > Liberal > Other > Green > NDP","2
"Quebec","Alfred-Pellan","Bloc > Conservative > Green > NDP > Liberal > Other","84
"Quebec","Alfred-Pellan","Bloc > Conservative > Green > NDP > Other > Liberal","4
"Quebec","Alfred-Pellan","Bloc > Conservative > Green > Liberal > NDP > Other","40
"Quebec","Alfred-Pellan","Bloc > Conservative > Green > Liberal > Other > NDP","1
"Quebec","Alfred-Pellan","Bloc > Conservative > Green > Other > NDP > Liberal","4
"Quebec","Alfred-Pellan","Bloc > Conservative > Green > Other > Liberal > NDP","2
"Quebec","Alfred-Pellan","Bloc > Conservative > Other > NDP > Liberal > Green","12
"Quebec","Alfred-Pellan","Bloc > Conservative > Other > NDP > Green > Liberal","7
"Quebec","Alfred-Pellan","Bloc > Conservative > Other > Liberal > NDP > Green","6
"Quebec","Alfred-Pellan","Bloc > Conservative > Other > Liberal > Green > NDP","1
"Quebec","Alfred-Pellan","Bloc > Conservative > Other > Green > NDP > Liberal","9
"Quebec","Alfred-Pellan","Bloc > Conservative > Other > Green > Liberal > NDP","4
"Quebec","Alfred-Pellan","Bloc > Green > NDP > Liberal > Conservative > Other","556
"Quebec","Alfred-Pellan","Bloc > Green > NDP > Liberal > Other > Conservative","53
"Quebec","Alfred-Pellan","Bloc > Green > NDP > Conservative > Liberal > Other","165
"Quebec","Alfred-Pellan","Bloc > Green > NDP > Conservative > Other > Liberal","27
"Quebec","Alfred-Pellan","Bloc > Green > NDP > Other > Liberal > Conservative","8
"Quebec","Alfred-Pellan","Bloc > Green > NDP > Other > Conservative > Liberal","18
"Quebec","Alfred-Pellan","Bloc > Green > Liberal > NDP > Conservative > Other","276
"Quebec","Alfred-Pellan","Bloc > Green > Liberal > NDP > Other > Conservative","38
"Quebec","Alfred-Pellan","Bloc > Green > Liberal > Conservative > NDP > Other","59
"Quebec","Alfred-Pellan","Bloc > Green > Liberal > Conservative > Other > NDP","7
"Quebec","Alfred-Pellan","Bloc > Green > Liberal > Other > NDP > Conservative","3
"Quebec","Alfred-Pellan","Bloc > Green > Liberal > Other > Conservative > NDP","3
"Quebec","Alfred-Pellan","Bloc > Green > Conservative > NDP > Liberal > Other","124
"Quebec","Alfred-Pellan","Bloc > Green > Conservative > NDP > Other > Liberal","5
"Quebec","Alfred-Pellan","Bloc > Green > Conservative > Liberal > NDP > Other","86
"Quebec","Alfred-Pellan","Bloc > Green > Conservative > Liberal > Other > NDP","2
"Quebec","Alfred-Pellan","Bloc > Green > Conservative > Other > NDP > Liberal","11
"Quebec","Alfred-Pellan","Bloc > Green > Conservative > Other > Liberal > NDP","4
"Quebec","Alfred-Pellan","Bloc > Green > Other > NDP > Liberal > Conservative","21
"Quebec","Alfred-Pellan","Bloc > Green > Other > NDP > Conservative > Liberal","7
"Quebec","Alfred-Pellan","Bloc > Green > Other > Liberal > NDP > Conservative","9
"Quebec","Alfred-Pellan","Bloc > Green > Other > Liberal > Conservative > NDP","2
"Quebec","Alfred-Pellan","Bloc > Green > Other > Conservative > NDP > Liberal","13
"Quebec","Alfred-Pellan","Bloc > Green > Other > Conservative > Liberal > NDP","9
"Quebec","Alfred-Pellan","Bloc > Other > NDP > Liberal > Conservative > Green","20
"Quebec","Alfred-Pellan","Bloc > Other > NDP > Liberal > Green > Conservative","21
"Quebec","Alfred-Pellan","Bloc > Other > NDP > Conservative > Liberal > Green","8
"Quebec","Alfred-Pellan","Bloc > Other > NDP > Conservative > Green > Liberal","5
"Quebec","Alfred-Pellan","Bloc > Other > NDP > Green > Liberal > Conservative","14
"Quebec","Alfred-Pellan","Bloc > Other > NDP > Green > Conservative > Liberal","9
"Quebec","Alfred-Pellan","Bloc > Other > Liberal > NDP > Conservative > Green","7
"Quebec","Alfred-Pellan","Bloc > Other > Liberal > NDP > Green > Conservative","13
"Quebec","Alfred-Pellan","Bloc > Other > Liberal > Conservative > NDP > Green","3
"Quebec","Alfred-Pellan","Bloc > Other > Liberal > Conservative > Green > NDP","1
"Quebec","Alfred-Pellan","Bloc > Other > Liberal > Green > NDP > Conservative","3
"Quebec","Alfred-Pellan","Bloc > Other > Liberal > Green > Conservative > NDP","1
"Quebec","Alfred-Pellan","Bloc > Other > Conservative > NDP > Liberal > Green","19
"Quebec","Alfred-Pellan","Bloc > Other > Conservative > NDP > Green > Liberal","10
"Quebec","Alfred-Pellan","Bloc > Other > Conservative > Liberal > NDP > Green","16
"Quebec","Alfred-Pellan","Bloc > Other > Conservative > Liberal > Green > NDP","4
"Quebec","Alfred-Pellan","Bloc > Other > Conservative > Green > NDP > Liberal","8
"Quebec","Alfred-Pellan","Bloc > Other > Conservative > Green > Liberal > NDP","4
"Quebec","Alfred-Pellan","Bloc > Other > Green > NDP > Liberal > Conservative","23
"Quebec","Alfred-Pellan","Bloc > Other > Green > NDP > Conservative > Liberal","7
"Quebec","Alfred-Pellan","Bloc > Other > Green > Liberal > NDP > Conservative","12
"Quebec","Alfred-Pellan","Bloc > Other > Green > Liberal > Conservative > NDP","2
"Quebec","Alfred-Pellan","Bloc > Other > Green > Conservative > NDP > Liberal","5
"Quebec","Alfred-Pellan","Bloc > Other > Green > Conservative > Liberal > NDP","4
"Quebec","Alfred-Pellan","Liberal > NDP > Bloc > Conservative > Green > Other","907
"Quebec","Alfred-Pellan","Liberal > NDP > Bloc > Conservative > Other > Green","262
"Quebec","Alfred-Pellan","Liberal > NDP > Bloc > Green > Conservative > Other","1851
"Quebec","Alfred-Pellan","Liberal > NDP > Bloc > Green > Other > Conservative","486
"Quebec","Alfred-Pellan","Liberal > NDP > Bloc > Other > Conservative > Green","183
"Quebec","Alfred-Pellan","Liberal > NDP > Bloc > Other > Green > Conservative","158
"Quebec","Alfred-Pellan","Liberal > NDP > Conservative > Bloc > Green > Other","168
"Quebec","Alfred-Pellan","Liberal > NDP > Conservative > Bloc > Other > Green","24
"Quebec","Alfred-Pellan","Liberal > NDP > Conservative > Green > Bloc > Other","551
"Quebec","Alfred-Pellan","Liberal > NDP > Conservative > Green > Other > Bloc","97
"Quebec","Alfred-Pellan","Liberal > NDP > Conservative > Other > Bloc > Green","73
"Quebec","Alfred-Pellan","Liberal > NDP > Conservative > Other > Green > Bloc","114
